customer_id,recency,frequency,monetary,avg_order,first_order,last_order,n_products,n_categories,segment,region,tenure_days,avg_days_between_orders,category_diversity,churned,churn_probability,churn_risk,cluster,segment_name
AA-10315,185,5,5563.56,505.77818181818185,2015-03-31,2018-06-29,11,3,Consumer,Central,1186,296.5,1.0,1,0.860364766717467,High risk,2,At Risk
AA-10375,20,9,1056.39,70.426,2015-04-21,2018-12-11,15,3,Consumer,West,1330,166.25,1.0,0,0.010988341988808601,Low risk,0,Champions
AA-10480,260,4,1790.5120000000002,149.20933333333335,2015-05-04,2018-04-15,12,3,Consumer,South,1077,359.0,1.0,1,0.8649256815006103,High risk,2,At Risk
AA-10645,56,6,5086.9349999999995,282.60749999999996,2015-06-22,2018-11-05,18,3,Consumer,East,1232,246.4,1.0,0,0.034971989667226124,Low risk,0,Champions
AB-10015,416,3,886.156,147.69266666666667,2015-02-18,2017-11-10,6,3,Consumer,West,996,498.0,1.0,1,0.9401355891735963,High risk,1,Loyal Customers
AB-10060,55,8,7755.62,430.86777777777775,2016-09-18,2018-11-06,17,3,Home Office,East,779,111.28571428571429,1.0,0,0.118022787501973,Low risk,3,Lost
AB-10105,42,10,14473.570999999998,723.6785499999999,2015-12-20,2018-11-19,20,3,Consumer,West,1065,118.33333333333333,1.0,0,0.055674016834028076,Low risk,3,Lost
AB-10150,42,5,966.71,80.55916666666667,2015-03-05,2018-11-19,12,3,Consumer,East,1355,338.75,1.0,0,0.036620591181502106,Low risk,2,At Risk
AB-10165,26,8,1113.838,79.55985714285714,2015-11-16,2018-12-05,14,3,Consumer,West,1115,159.28571428571428,1.0,0,0.02824079886727185,Low risk,0,Champions
AB-10255,167,9,914.5319999999999,65.32371428571427,2015-07-22,2018-07-17,14,3,Home Office,East,1091,136.375,1.0,0,0.12761111294293412,Low risk,0,Champions
AB-10600,51,4,1515.862,189.48275,2015-11-18,2018-11-10,8,3,Corporate,West,1088,362.6666666666667,1.0,0,0.07068337097862361,Low risk,2,At Risk
AC-10420,233,3,925.8,185.16,2015-07-12,2018-05-12,5,2,Corporate,West,1035,517.5,0.6666666666666666,1,0.9343996315887932,High risk,2,At Risk
AC-10450,12,7,5527.846,614.205111111111,2015-10-31,2018-12-19,9,2,Consumer,Central,1145,190.83333333333334,0.6666666666666666,0,0.058534558036207794,Low risk,0,Champions
AC-10615,7,5,2537.6859999999997,140.98255555555554,2016-09-15,2018-12-24,18,3,Corporate,East,830,207.5,1.0,0,0.1224194734078889,Low risk,2,At Risk
AC-10660,283,5,657.316,109.55266666666667,2015-10-15,2018-03-23,6,3,Consumer,Central,890,222.5,1.0,1,0.9454999508108426,High risk,2,At Risk
AD-10180,30,8,6106.88,508.9066666666667,2015-11-19,2018-12-01,12,3,Home Office,Central,1108,158.28571428571428,1.0,0,0.05755950167039621,Low risk,0,Champions
AF-10870,42,7,2052.908,128.30675,2016-12-06,2018-11-19,16,3,Consumer,Central,713,118.83333333333333,1.0,0,0.08568148265450592,Low risk,0,Champions
AF-10885,416,4,861.565,123.0807142857143,2015-05-10,2017-11-10,7,3,Consumer,South,915,305.0,1.0,1,0.9647462770666079,High risk,1,Loyal Customers
AG-10270,279,5,2582.898,184.4927142857143,2015-05-13,2018-03-27,14,3,Consumer,West,1049,262.25,1.0,1,0.8409172239649704,High risk,2,At Risk
AG-10300,119,4,367.548,73.5096,2015-04-26,2018-09-03,5,2,Corporate,West,1226,408.6666666666667,0.6666666666666666,0,0.09126102534370746,Low risk,2,At Risk
AG-10330,9,5,660.972,73.44133333333333,2017-08-03,2018-12-22,9,3,Consumer,West,506,126.5,1.0,0,0.15713359811484756,Low risk,2,At Risk
AG-10390,115,5,200.945,25.118125,2015-04-19,2018-09-07,8,2,Consumer,East,1237,309.25,0.6666666666666666,0,0.08746131962924586,Low risk,2,At Risk
AG-10495,79,7,1419.247,101.37478571428572,2016-01-04,2018-10-13,14,3,Corporate,East,1013,168.83333333333334,1.0,0,0.09099918926304956,Low risk,0,Champions
AG-10525,845,4,1455.038,161.6708888888889,2015-08-09,2016-09-07,9,3,Corporate,South,395,131.66666666666666,1.0,1,0.9606491528580982,High risk,1,Loyal Customers
AG-10675,98,7,3489.0396000000005,232.60264000000004,2016-05-07,2018-09-24,15,3,Consumer,Central,870,145.0,1.0,0,0.06111825676968872,Low risk,0,Champions
AG-10765,78,4,170.584,34.1168,2015-09-17,2018-10-14,5,1,Home Office,East,1123,374.3333333333333,0.3333333333333333,0,0.12290107915602187,Low risk,2,At Risk
AG-10900,97,10,4510.797,214.79985714285712,2015-07-23,2018-09-25,21,3,Consumer,West,1160,128.88888888888889,1.0,0,0.0186483627841618,Low risk,0,Champions
AH-10030,13,7,1744.7,158.60909090909092,2015-04-22,2018-12-18,11,3,Corporate,East,1336,222.66666666666666,1.0,0,0.0014218376891079294,Low risk,0,Champions
AH-10075,35,10,3250.337,162.51685,2015-11-16,2018-11-26,20,3,Corporate,East,1106,122.88888888888889,1.0,0,0.03521856215240351,Low risk,0,Champions
AH-10120,61,7,1735.5140000000001,108.46962500000001,2015-07-18,2018-10-31,16,3,Home Office,West,1201,200.16666666666666,1.0,0,0.010891105512726535,Low risk,0,Champions
